1024,1,0.63
1024,4,0.64
1024,16,0.66
1024,64,0.65
1024,256,0.63
4096,1,4.50
4096,4,4.86
4096,16,5.05
4096,64,5.10
4096,256,4.64
16384,1,17.11
16384,4,30.28
16384,16,36.49
16384,64,37.28
16384,256,32.73
65536,1,27.05
65536,4,83.67
65536,16,156.06
65536,64,171.07
65536,256,106.26
262144,1,29.23
262144,4,108.19
262144,16,282.86
262144,64,306.31
262144,256,177.58
1048576,1,29.46
1048576,4,112.19
1048576,16,303.95
1048576,64,332.28
1048576,256,176.81
