1024,120.77,990.33,8.20,121.89,976.26,8.01
2048,121.39,1023.04,8.43,122.31,1017.95,8.32
4096,107.17,712.09,6.64,124.80,969.00,7.76
8192,177.01,1301.34,7.35,179.32,892.66,4.98
16384,215.28,1129.06,5.24,197.28,1404.06,7.12
32768,221.51,994.74,4.49,174.54,893.30,5.12
65536,201.20,1214.03,6.03,205.26,571.48,2.78
131072,140.96,855.98,6.07,195.03,857.44,4.40
262144,188.47,936.83,4.97,183.34,790.23,4.31
524288,159.64,968.83,6.07,171.46,1394.36,8.13
1048576,134.59,531.25,3.95,130.93,952.83,7.28
2097152,137.67,538.00,3.91,229.12,1447.46,6.32
4194304,219.73,748.81,3.41,227.82,1270.21,5.58
8388608,220.42,806.45,3.66,227.87,1361.53,5.98
