1024,8,25.0000,75.88
1024,32,30.3030,73.93
1024,64,31.2500,73.73
1024,128,31.2500,76.27
4096,8,121.2121,73.78
4096,32,125.0000,75.24
4096,64,125.0000,73.44
4096,128,121.2121,74.93
16384,8,444.4444,74.84
16384,32,484.8485,75.52
16384,64,516.1290,74.79
16384,128,470.5882,74.99
65536,8,1381.9163,74.69
65536,32,1747.4403,74.64
65536,64,1793.3451,74.74
65536,128,1796.4913,74.82
262144,8,2858.3392,74.67
262144,32,4804.6922,74.79
262144,64,4864.6080,74.65
262144,128,4958.8378,74.76
1048576,8,4076.6359,74.68
1048576,32,9920.6782,74.75
1048576,64,9290.6150,74.69
1048576,128,10104.2244,74.65
2097152,8,4431.1020,74.73
2097152,32,11889.6951,74.73
2097152,64,11848.8520,74.76
2097152,128,12217.7483,74.70
